;Order.q;Target;Emperical;s.e.;LCL;UCL;Assemblage
63;2.5;Diversity;3.722016794;0.500137513;2.90711346;4.683018144;S6
64;2.75;Diversity;3.605100304;0.509926863;2.775037004;4.597530098;S6
65;3;Diversity;3.502363985;0.517074788;2.664923167;4.519939937;S6
66;0;Entropy;6;0.798212288;4.565;7.34;S6
67;0.25;Entropy;3.935094951;0.390262944;3.260739481;4.663168866;S6
68;0.5;Entropy;2.765968828;0.217597978;2.429248144;3.186089623;S6
69;0.75;Entropy;2.052688603;0.138671141;1.822948388;2.313598611;S6
70;1;Entropy;1.588897928;0.097913908;1.408841626;1.774379611;S6
71;1.25;Entropy;1.27130491;0.073521903;1.128116712;1.407958659;S6
72;1.5;Entropy;1.044630031;0.05698923;0.930033547;1.146059845;S6
73;1.75;Entropy;0.877349727;0.044864569;0.784822949;0.953693862;S6
74;2;Entropy;0.750449827;0.035591311;0.674696194;0.808260208;S6
75;2.25;Entropy;0.65190825;0.02835128;0.590093551;0.695931666;S6
76;2.5;Entropy;0.573825359;0.022642613;0.523490141;0.60751759;S6
77;2.75;Entropy;0.510844761;0.018119447;0.469900298;0.536742768;S6
78;3;Entropy;0.459238754;0.014526024;0.42594182;0.479221527;S6
79;0;Diversity;8;1.050558646;5.72;9.72;S9
80;0.25;Diversity;6.240859408;0.702107352;4.634392275;7.37795097;S9
81;0.5;Diversity;5.025057723;0.497575466;3.931859741;5.819133442;S9
82;0.75;Diversity;4.228519165;0.38692131;3.453005013;4.876516135;S9
83;1;Diversity;3.714310416;0.324757261;3.102972912;4.343595401;S9
84;1.25;Diversity;3.377057265;0.285991619;2.898897709;3.916314329;S9
85;1.5;Diversity;3.148507654;0.25964743;2.754665802;3.656200742;S9
86;1.75;Diversity;2.987532496;0.240938094;2.63158712;3.483133296;S9
87;2;Diversity;2.869744435;0.227434545;2.529462771;3.33748609;S9
88;2.25;Diversity;2.780494115;0.217664019;2.468278935;3.232720113;S9
89;2.5;Diversity;2.710746388;0.210622303;2.405169799;3.154540043;S9
90;2.75;Diversity;2.654752978;0.205585848;2.344666858;3.091599175;S9
91;3;Diversity;2.608741166;0.202022456;2.293358593;3.039971661;S9
92;0;Entropy;7;0.9258201;5.025;8.8;S9
93;0.25;Entropy;3.931347358;0.430882237;2.9276756;4.743868788;S9
94;0.5;Entropy;2.483328104;0.233679199;1.909002529;2.895383463;S9
95;0.75;Entropy;1.735972587;0.14356496;1.428249886;1.97656102;S9
96;1;Entropy;1.312193039;0.096160905;1.142108718;1.468749024;S9
97;1.25;Entropy;1.049297769;0.068206971;0.934164875;1.16058875;S9
98;1.5;Entropy;0.872860632;0.050300857;0.783222744;0.955806264;S9
99;1.75;Entropy;0.746581766;0.038145476;0.676180246;0.809975735;S9
100;2;Entropy;0.651536915;0.029544404;0.595824476;0.700560902;S9
101;2.25;Entropy;0.577188547;0.023265458;0.532769697;0.615419951;S9
102;2.5;Entropy;0.51729253;0.018566264;0.481604235;0.547041514;S9
103;2.75;Entropy;0.467933481;0.01497589;0.438982011;0.491279031;S9
104;3;Entropy;0.426530341;0.012184293;0.402441258;0.445032668;S9
105;0;Diversity;9;1.478554175;6.24;11.24;S13
106;0.25;Diversity;6.789196594;1.074606553;4.851133663;8.583884627;S13
107;0.5;Diversity;5.139210233;0.790467999;3.849293485;6.64132999;S13
108;0.75;Diversity;4.001914199;0.60609165;3.10536729;5.141047298;S13
109;1;Diversity;3.256830401;0.487752129;2.490534949;4.294018802;S13
110;1.25;Diversity;2.776008959;0.409267413;2.142177242;3.709949452;S13
111;1.5;Diversity;2.4617484;0.354859832;1.910678782;3.303555327;S13
112;1.75;Diversity;2.25057906;0.315517044;1.761677436;3.014896186;S13
113;2;Diversity;2.103948999;0.286024968;1.662423182;2.80463641;S13
114;2.25;Diversity;1.998766182;0.263265357;1.593912937;2.64753802;S13
115;2.5;Diversity;1.921016864;0.245291905;1.54499172;2.527344393;S13
116;2.75;Diversity;1.861982483;0.23083365;1.508950685;2.433402259;S13
117;3;Diversity;1.816081302;0.21902521;1.481638524;2.358571264;S13
118;0;Entropy;8;1.808821919;5.44;11.44;S13
119;0.25;Entropy;4.274595906;0.818569313;3.069301703;5.764606654;S13
120;0.5;Entropy;2.533965255;0.418850055;1.915319878;3.4346524;S13
121;0.75;Entropy;1.6575309;0.24505615;1.253742235;2.209555769;S13
122;1;Entropy;1.180754453;0.161709366;0.897380855;1.544541058;S13
123;1.25;Entropy;0.901119883;0.1169024;0.690288919;1.157446592;S13
124;1.5;Entropy;0.725299479;0.089965172;0.560281812;0.918939203;S13
125;1.75;Entropy;0.607698652;0.072176218;0.472821141;0.759304393;S13
126;2;Entropy;0.524703308;0.059556031;0.411672418;0.646703139;S13
127;2.25;Entropy;0.463381876;0.050120842;0.367091819;0.563638225;S13
128;2.5;Entropy;0.416279553;0.042791867;0.333177711;0.50000104;S13
129;2.75;Entropy;0.378895798;0.036934961;0.30643406;0.449679551;S13
130;3;Entropy;0.34839992;0.032152081;0.284696891;0.408823629;S13
