;Order.q;Target;Emperical;s.e.;LCL;UCL;Assemblage
1;0;Diversity;6;0.863074712;4.5;7.5;S2
2;0.25;Diversity;5.813075252;0.824302264;4.390437629;7.310369572;S2
3;0.5;Diversity;5.637060187;0.793956788;4.297853975;7.124016267;S2
4;0.75;Diversity;5.472790495;0.772564321;4.218771544;6.94111707;S2
5;1;Diversity;5.320648945;0.759235722;4.149851775;6.761966209;S2
6;1.25;Diversity;5.180615031;0.75205709;4.044168746;6.587101979;S2
7;1.5;Diversity;5.052341438;0.748834328;3.836978662;6.417318465;S2
8;1.75;Diversity;4.935241097;0.747709334;3.659812174;6.253562875;S2
9;2;Diversity;4.828571429;0.747408462;3.509573394;6.096779518;S2
10;2.25;Diversity;4.731507036;0.747200528;3.382542485;5.947770042;S2
11;2.5;Diversity;4.643196847;0.746739827;3.27499186;5.807107985;S2
12;2.75;Diversity;4.562805287;0.745911343;3.187502387;5.675111006;S2
13;3;Diversity;4.48953932;0.744719397;3.109944637;5.551855613;S2
14;0;Entropy;5;0.840068024;3.005;5.78;S2
15;0.25;Entropy;3.658305968;0.580581813;2.229883117;4.290859082;S2
16;0.5;Entropy;2.748498789;0.416803836;1.713150937;3.244208037;S2
17;0.75;Entropy;2.11803838;0.308401238;1.358735759;2.498660843;S2
18;1;Entropy;1.671595278;0.233496014;1.091538171;1.960337428;S2
19;1.25;Entropy;1.348664658;0.179923404;0.90022006;1.548270632;S2
20;1.5;Entropy;1.110217931;0.140607849;0.760552743;1.255885594;S2
21;1.75;Entropy;0.930655747;0.111200291;0.652471095;1.040599808;S2
22;2;Entropy;0.792899408;0.088880806;0.562011834;0.876213018;S2
23;2.25;Entropy;0.685358826;0.071738671;0.493512161;0.748801637;S2
24;2.5;Entropy;0.600034629;0.058436183;0.440268496;0.648616815;S2
25;2.75;Entropy;0.531313639;0.048014957;0.397873469;0.568745351;S2
26;3;Entropy;0.475193446;0.039777127;0.363372781;0.504223942;S2
27;0;Diversity;8;1.20271801;6.32;10.32;S3
28;0.25;Diversity;7.384998221;1.114531578;5.720137581;9.484463735;S3
29;0.5;Diversity;6.855294835;1.038793816;5.236738603;8.738015476;S3
30;0.75;Diversity;6.409108977;0.978599867;4.859197549;8.137436937;S3
31;1;Diversity;6.038672042;0.933438173;4.535878055;7.823157772;S3
32;1.25;Diversity;5.733150313;0.900681022;4.267347208;7.526340103;S3
33;1.5;Diversity;5.481103849;0.877228013;4.029390983;7.203791915;S3
34;1.75;Diversity;5.272015263;0.860393381;3.791810944;6.944381951;S3
35;2;Diversity;5.096969697;0.848135742;3.598492311;6.721181036;S3
36;2.25;Diversity;4.948776869;0.838995627;3.447637076;6.593584382;S3
37;2.5;Diversity;4.821808538;0.831961188;3.32734204;6.481215092;S3
38;2.75;Diversity;4.711732511;0.826342656;3.229238457;6.381588928;S3
39;3;Diversity;4.615239613;0.821674646;3.14750024;6.292667703;S3
40;0;Entropy;7;1.041192409;5.24;8.24;S3
41;0.25;Entropy;4.639790697;0.606231871;3.531668569;5.525955551;S3
42;0.5;Entropy;3.236523593;0.374792473;2.516304041;3.859450742;S3
43;0.75;Entropy;2.364428405;0.243757696;1.877350579;2.774780166;S3
44;1;Entropy;1.798184127;0.164916097;1.449831945;2.065430312;S3
45;1.25;Entropy;1.414993382;0.114960545;1.158736572;1.595649081;S3
46;1.5;Entropy;1.145728377;0.081993566;0.951181906;1.269338534;S3
47;1.75;Entropy;0.950106207;0.059544368;0.811628351;1.036479446;S3
48;2;Entropy;0.803804994;0.04387736;0.703804994;0.864684899;S3
49;2.25;Entropy;0.691615383;0.032726053;0.618557422;0.734792459;S3
50;2.5;Entropy;0.603702451;0.024659643;0.54982142;0.634522178;S3
51;2.75;Entropy;0.533506168;0.018745621;0.493458369;0.555648518;S3
52;3;Entropy;0.476526303;0.014360032;0.44656628;0.492536799;S3
53;0;Diversity;7;0.788954358;5.525;8.3;S6
54;0.25;Diversity;6.246783407;0.606691469;5.232944016;7.381511399;S6
55;0.5;Diversity;5.678614718;0.496713813;4.947077735;6.670521567;S6
56;0.75;Diversity;5.242680102;0.439761026;4.598094041;6.15509485;S6
57;1;Diversity;4.898347622;0.419667186;4.228131213;5.767038292;S6
58;1.25;Diversity;4.617638471;0.422219172;3.921284868;5.466211585;S6
59;1.5;Diversity;4.382448488;0.436180335;3.66357191;5.207998973;S6
60;1.75;Diversity;4.181377162;0.454117321;3.426317091;4.983319722;S6
61;2;Diversity;4.007210205;0.47186171;3.225598716;4.88125334;S6
62;2.25;Diversity;3.855203408;0.487436397;3.055970256;4.788626478;S6
