;Order.q;Target;Emperical;s.e.;LCL;UCL;Assemblage
43;0.75;Entropy;1.225920188;0.249650299;0.713644976;1.734510749;S3.2
44;1;Entropy;0.986899449;0.20273236;0.54970601;1.351567121;S3.2
45;1.25;Entropy;0.820043956;0.169763734;0.428134916;1.095253141;S3.2
46;1.5;Entropy;0.699288231;0.144914665;0.349791847;0.920139966;S3.2
47;1.75;Entropy;0.608876656;0.125232916;0.297520892;0.788186341;S3.2
48;2;Entropy;0.5390625;0.10913558;0.261328125;0.685546875;S3.2
49;2.25;Entropy;0.483663503;0.095700136;0.235295273;0.604782814;S3.2
50;2.5;Entropy;0.438653798;0.084338013;0.215852958;0.541921033;S3.2
51;2.75;Entropy;0.401340357;0.074642135;0.20080498;0.491113306;S3.2
52;3;Entropy;0.369873047;0.066312786;0.188770752;0.448103027;S3.2
53;0;Diversity;10;0.899886614;7.92;11.695;S4.1
54;0.25;Diversity;8.576382635;0.71395107;7.08878486;9.955222481;S4.1
55;0.5;Diversity;7.466721779;0.621194649;6.390647729;8.626595602;S4.1
56;0.75;Diversity;6.620944356;0.581546013;5.731313167;7.636704462;S4.1
57;1;Diversity;5.981110619;0.564651694;5.055022352;6.938962864;S4.1
58;1.25;Diversity;5.495100069;0.555144688;4.489678536;6.418741411;S4.1
59;1.5;Diversity;5.121815952;0.547050629;4.092915987;6.024530852;S4.1
60;1.75;Diversity;4.830990103;0.538590646;3.809142214;5.716047793;S4.1
61;2;Diversity;4.600977995;0.529567437;3.60136406;5.492399202;S4.1
62;2.25;Diversity;4.416398188;0.520270918;3.445485649;5.284070941;S4.1
63;2.5;Diversity;4.266247659;0.511057895;3.325778901;5.116521246;S4.1
64;2.75;Diversity;4.142555415;0.502212747;3.23183061;4.982225457;S4.1
65;3;Diversity;4.039462164;0.493920326;3.156610873;4.868093635;S4.1
66;0;Entropy;9;0.873416935;7.045;10.595;S4.1
67;0.25;Entropy;5.348826326;0.404252406;4.39913398;6.030974191;S4.1
68;0.5;Entropy;3.465060578;0.211291429;2.972587755;3.779392877;S4.1
69;0.75;Entropy;2.416378513;0.124458629;2.149769738;2.60386544;S4.1
70;1;Entropy;1.788606273;0.080604436;1.64024276;1.913470438;S4.1
71;1.25;Entropy;1.387441103;0.055612693;1.296045528;1.491752176;S4.1
72;1.5;Entropy;1.116273229;0.039877927;1.050501935;1.197387056;S4.1
73;1.75;Entropy;0.924155945;0.02926947;0.876656506;0.982973669;S4.1
74;2;Entropy;0.782654905;0.021804281;0.744522266;0.82554044;S4.1
75;2.25;Entropy;0.675044692;0.016410034;0.644238481;0.706473888;S4.1
76;2.5;Entropy;0.591011316;0.012444768;0.566039523;0.61415318;S4.1
77;2.75;Entropy;0.523923237;0.009494813;0.503744535;0.541036487;S4.1
78;3;Entropy;0.46935759;0.007280317;0.453107362;0.482062475;S4.1
79;0;Diversity;8;0.880862286;6.14;9.14;S4.4
80;0.25;Diversity;6.59301105;0.710285114;5.108998357;7.67513521;S4.4
81;0.5;Diversity;5.490726589;0.606658077;4.299632506;6.474840275;S4.4
82;0.75;Diversity;4.673329465;0.541838984;3.641807005;5.592331632;S4.4
83;1;Diversity;4.087408284;0.493728504;3.135241469;4.973058825;S4.4
84;1.25;Diversity;3.67188857;0.454126784;2.843621234;4.532961402;S4.4
85;1.5;Diversity;3.374871804;0.421184866;2.627500483;4.217796579;S4.4
86;1.75;Diversity;3.158365667;0.394289212;2.470827302;3.987991723;S4.4
87;2;Diversity;2.996531792;0.372714764;2.353867862;3.792543117;S4.4
88;2.25;Diversity;2.872318333;0.355588934;2.260390527;3.609062686;S4.4
89;2.5;Diversity;2.774528571;0.342046646;2.185449268;3.461401222;S4.4
90;2.75;Diversity;2.69574429;0.331325874;2.125252634;3.340740573;S4.4
91;3;Diversity;2.630969107;0.322798324;2.07579234;3.240727742;S4.4
92;0;Entropy;7;0.835195199;5.58;8.58;S4.4
93;0.25;Entropy;4.152613436;0.424351979;3.437414618;5.072603706;S4.4
94;0.5;Entropy;2.686459896;0.255018767;2.285816939;3.241215876;S4.4
95;0.75;Entropy;1.881208702;0.173130386;1.593182874;2.227697285;S4.4
96;1;Entropy;1.407911098;0.125897535;1.191271521;1.634064691;S4.4
97;1.25;Entropy;1.110400736;0.095227177;0.935194869;1.267018709;S4.4
98;1.5;Entropy;0.911317216;0.073937712;0.766626694;1.028631578;S4.4
99;1.75;Entropy;0.770549091;0.058536914;0.651454508;0.863354954;S4.4
100;2;Entropy;0.666280864;0.04705298;0.567455633;0.740979938;S4.4
101;2.25;Entropy;0.586056412;0.038276768;0.503473246;0.646435404;S4.4
102;2.5;Entropy;0.522413638;0.031431754;0.453007104;0.571315396;S4.4
103;2.75;Entropy;0.470671801;0.026002754;0.41207278;0.510370989;S4.4
104;3;Entropy;0.427766525;0.021638021;0.378112301;0.460073222;S4.4
105;0;Diversity;10;0.787918985;8.46;11.46;S8
106;0.25;Diversity;7.759336997;0.606631419;6.669247515;8.814474726;S8
107;0.5;Diversity;6.096209861;0.501019064;5.380300925;7.016977476;S8
108;0.75;Diversity;4.932105448;0.429779252;4.328878961;5.822793197;S8
109;1;Diversity;4.140797094;0.379937808;3.588180259;4.99818857;S8
110;1.25;Diversity;3.602951793;0.345071037;3.117795285;4.39179424;S8
111;1.5;Diversity;3.230220223;0.319717753;2.78840769;3.955072775;S8
112;1.75;Diversity;2.964558497;0.300100989;2.553624238;3.63427262;S8
113;2;Diversity;2.769556574;0.284078456;2.386196812;3.392894905;S8
114;2.25;Diversity;2.622469152;0.270517916;2.26274816;3.207182561;S8
115;2.5;Diversity;2.508833979;0.258803076;2.169135716;3.067475168;S8
116;2.75;Diversity;2.419204777;0.248565511;2.096457554;2.955221715;S8
117;3;Diversity;2.347229971;0.239557834;2.038268718;2.863458702;S8
118;0;Entropy;9;0.881557064;7.28;10.28;S8
119;0.25;Entropy;4.86546057;0.385191526;4.049370298;5.389171866;S8
120;0.5;Entropy;2.938100793;0.207044257;2.465097978;3.209718363;S8
121;0.75;Entropy;1.960985695;0.133662288;1.653706433;2.12454486;S8
122;1;Entropy;1.420888304;0.097017941;1.20506085;1.565995905;S8
123;1.25;Entropy;1.09667684;0.075036541;0.935770367;1.218476741;S8
124;1.5;Entropy;0.887208167;0.060034649;0.76199162;0.987633339;S8
125;1.75;Entropy;0.743174763;0.048969674;0.642776094;0.825692841;S8
126;2;Entropy;0.638931369;0.040432281;0.556749789;0.706824693;S8
127;2.25;Entropy;0.560281252;0.033663957;0.492031293;0.616330523;S8
128;2.5;Entropy;0.498901862;0.028203653;0.440736014;0.545352046;S8
129;2.75;Entropy;0.449660102;0.023745172;0.39969295;0.488298515;S8
130;3;Entropy;0.409247474;0.020072278;0.366288091;0.44149634;S8
