;Order.q;Target;Emperical;s.e.;LCL;UCL;Assemblage
1;0;Diversity;5;0.786622851;3.44;6.44;S3.1
2;0.25;Diversity;4.11161839;0.693620163;2.761743897;5.484915165;S3.1
3;0.5;Diversity;3.359030811;0.619254482;2.240476227;4.612237775;S3.1
4;0.75;Diversity;2.777241328;0.550847322;1.868997415;3.900851512;S3.1
5;1;Diversity;2.36006473;0.485865857;1.62009981;3.366444356;S3.1
6;1.25;Diversity;2.074287713;0.427467736;1.459988867;2.964962164;S3.1
7;1.5;Diversity;1.881598414;0.378153062;1.358620571;2.67133892;S3.1
8;1.75;Diversity;1.750882989;0.33818866;1.294100837;2.46291206;S3.1
9;2;Diversity;1.660516605;0.306460786;1.252222666;2.307732833;S3.1
10;2.25;Diversity;1.596461129;0.281427981;1.224278096;2.190873862;S3.1
11;2.5;Diversity;1.549810996;0.261625995;1.205033841;2.101662392;S3.1
12;2.75;Diversity;1.514914708;0.245842316;1.19134024;2.032477593;S3.1
13;3;Diversity;1.488142106;0.233132857;1.181277632;1.977939233;S3.1
14;0;Entropy;4;0.729551162;3.28;5.28;S3.1
15;0.25;Entropy;2.516556805;0.438208924;1.929968256;3.326944626;S3.1
16;0.5;Entropy;1.665531782;0.307691171;1.194246671;2.250894338;S3.1
17;0.75;Entropy;1.163728457;0.239426914;0.783949206;1.643118711;S3.1
18;1;Entropy;0.858689047;0.195540734;0.549052731;1.266506566;S3.1
19;1.25;Entropy;0.666942986;0.163329308;0.410492287;1.010829073;S3.1
20;1.5;Entropy;0.541969777;0.138300873;0.325941554;0.832150479;S3.1
21;1.75;Entropy;0.457349897;0.118408388;0.272359772;0.703519033;S3.1
22;2;Entropy;0.397777778;0.102407168;0.236977778;0.608144444;S3.1
23;2.25;Entropy;0.35419796;0.089407134;0.212581371;0.535390124;S3.1
24;2.5;Entropy;0.321132789;0.078736307;0.195009486;0.478395905;S3.1
25;2.75;Entropy;0.295191073;0.069882148;0.18180817;0.432652608;S3.1
26;3;Entropy;0.274222222;0.062454156;0.171495556;0.395137222;S3.1
27;0;Diversity;4;0.469910977;2.94;4.94;S3.2
28;0.25;Diversity;3.568298924;0.436338041;2.581709056;4.503982924;S3.2
29;0.5;Diversity;3.20613883;0.425137671;2.286712569;4.131431505;S3.2
30;0.75;Diversity;2.913473859;0.423452338;2.047400419;3.821339365;S3.2
31;1;Diversity;2.682903085;0.423341435;1.838975045;3.567452073;S3.2
32;1.25;Diversity;2.503545554;0.421771146;1.688082631;3.360901999;S3.2
33;1.5;Diversity;2.364274248;0.418280456;1.579208589;3.192534658;S3.2
34;1.75;Diversity;2.255459792;0.413309846;1.500149219;3.054262372;S3.2
35;2;Diversity;2.169491525;0.407446662;1.441995237;2.951285692;S3.2
36;2.25;Diversity;2.10064444;0.4011752;1.398492143;2.866212272;S3.2
37;2.5;Diversity;2.044715654;0.394833033;1.365330743;2.793500507;S3.2
38;2.75;Diversity;1.998645849;0.388633459;1.339560147;2.730674454;S3.2
39;3;Diversity;1.960204454;0.382700163;1.31915505;2.675890519;S3.2
40;0;Entropy;3;0.656521445;1.76;4.76;S3.2
41;0.25;Entropy;2.128328648;0.443474319;1.248830983;3.267091707;S3.2
42;0.5;Entropy;1.58113883;0.322231631;0.93252678;2.333551302;S3.2
